Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death,IsFemale,Occupation_code_0,Occupation_code_1,Occupation_code_2,Occupation_code_3,Occupation_code_4,Occupation_code_5,Occupation_code_6,Occupation_code_7,Occupation_code_8,Occupation_code_9,Occupation_code_10,Occupation_death_mean_age,Age Group,job_safety_level
Q42,Douglas Adams,English writer and humorist,Male,United Kingdom,Artist,1952,2001.0,natural causes,49.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q303,Elvis Presley,American singer and actor (1935–1977),Male,United States Of America,Artist,1935,1977.0,natural causes,42.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q368,Augusto Pinochet,"General, politician of Chile (1915-2006)",Male,Chile,Politician,1915,2006.0,natural causes,91.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q407,Linda Lovelace,"American pornographic actress, later anti-porn activist",Female,United States Of America,Artist,1949,2002.0,accident,53.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q409,Bob Marley,"Jamaican singer, songwriter and musician",Male,Jamaica,Artist,1945,1981.0,natural causes,36.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,0,1
Q410,Carl Sagan,"American astrophysicist, cosmologist, author and science educator",Male,United States Of America,Researcher,1934,1996.0,natural causes,62.0,0,0,0,0,0,0,0,0,0,1,0,0,68.7,1,2
Q440,Salvador Allende,28th president of Chile (1908–1973),Male,Chile,Politician,1908,1973.0,suicide,65.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,1,1
Q449,Georges Brassens,French singer-songwriter and poet,Male,France,Artist,1921,1981.0,natural causes,60.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q475,Eduardo Frei Montalva,President of Chile (1911-1982),Male,Chile,Politician,1911,1982.0,homicide,71.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q512,Vladimir Vysotsky,"Soviet singer, songwriter, poet and actor",Male,Soviet Union,Artist,1938,1980.0,natural causes,42.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q853,Andrei Tarkovsky,"Soviet and Russian filmmaker, writer, film editor, film theorist, and theatre and opera director",Male,Soviet Union,Artist,1932,1986.0,natural causes,54.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q862,Joseph Brodsky,Russian-American poet,Male,United States Of America; Soviet Union,Artist,1940,1996.0,natural causes,56.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q927,Harry Mulisch,Dutch writer,Male,Kingdom Of The Netherlands,Artist,1927,2010.0,natural causes,83.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q949,John Bardeen,American physicist and engineer,Male,United States Of America,Researcher,1908,1991.0,natural causes,83.0,0,0,0,0,0,0,0,0,0,1,0,0,68.7,2,2
Q989,John Paul II,264th pope of the Catholic Church,Male,Poland,Researcher,1920,2005.0,natural causes,85.0,0,0,0,0,0,0,0,0,0,1,0,0,68.7,2,2
Q997,Andrei Sakharov,Soviet nuclear physicist and human rights activist,Male,Soviet Union; Russian Soviet Federative Socialist Republic,Researcher,1921,1989.0,natural causes,68.0,0,0,0,0,0,0,0,0,0,1,0,0,68.7,2,2
Q1149,Indira Gandhi,Indian Prime Minister and politician (1917-1984),Female,India; British Raj,Politician,1917,1984.0,homicide,67.0,1,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q1203,John Lennon,"English singer and songwriter, founding member of The Beatles (1940-1980)",Male,United Kingdom,Artist,1940,1980.0,homicide,40.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,0,1
Q1224,Carlo Azeglio Ciampi,10th President of Italy,Male,Italy; Kingdom Of Italy,Politician,1920,2016.0,natural causes,96.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q1254,Kofi Annan,7th Secretary-General of the United Nations (1938-2018),Male,Ghana,Politician,1938,2018.0,natural causes,80.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q1257,Boutros Boutros-Ghali,6th Secretary-General of the United Nations (1922-2016),Male,Egypt,Artist,1922,2016.0,accident,94.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q1260,Kurt Waldheim,"4th Secretary-General of the United Nations, President of Austria (1918-2007)",Male,Austria; Nazi Germany; Federal State Of Austria; Republic Of German-Austria; First Republic Of Austria,Politician,1918,2007.0,natural causes,89.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q1267,Dag Hammarskjöld,"Swedish diplomat, economist, and author (1905-1961)",Male,Sweden,Artist,1905,1961.0,accident,56.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q1276,Leonard Cohen,Canadian poet and singer-songwriter,Male,Canada,Artist,1934,2016.0,accident,82.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q1316,Saddam Hussein,Iraqi politician and President,Male,Iraq,Politician,1937,2006.0,capital punishment,69.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q1317,Osama bin Laden,Saudi Arabian founder of al-Qaeda,Male,Saudi Arabia; Statelessness,Businessperson,1957,2011.0,death in battle,54.0,0,0,0,0,0,0,0,0,0,1,0,1,68.5,1,2
Q1381,Dave Arneson,American game designer,Male,United States Of America,Game designer; role-playing game designer,1947,2009.0,natural causes,62.0,0,0,0,0,0,0,0,0,0,1,1,0,62.0,1,1
Q1463,Ferdinand Marcos,former president of the Philippines from 1965 to 1986,Male,Philippines,Politician,1917,1989.0,natural causes,72.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q1480,Corazon Aquino,Philippine politician and President (1933-2009),Female,Philippines,Politician,1933,2009.0,natural causes,76.0,1,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q1514,Janis Joplin,American singer and songwriter,Female,United States Of America,Artist,1943,1970.0,accident,27.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,0,1
